"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"235,Aboubakar Kamara\4047c976,10,2.86,9,0,1,0,0,0.00,0,0,0,0"
"236,Harry Kane\21a66f6a,113,3.30,70,2,18,9,25,0.73,15,1,6,0"
"237,N'Golo Kanté\b9fbae28,47,1.97,42,0,2,1,1,0.04,1,0,0,0"
"238,Moise Kean\3d50bcdb,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"239,Michael Keane\c5b7c315,22,0.66,21,0,0,1,3,0.09,3,0,0,0"
"240,Neeskens Kebano\18b999f4,3,2.27,2,0,0,1,0,0.00,0,0,0,0"
"241,Naby Keïta\f25c8e3a,15,2.60,12,0,1,2,1,0.17,1,0,0,0"
"242,Caoimhín Kelleher\62d7ef38,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"243,Martin Kelly\d7492450,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"244,Jonjoe Kenny\099e666f,1,1.14,1,0,0,0,0,0.00,0,0,0,0"
"245,Reda Khadra\88acf83f,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"246,Max Kilman\d0f72bf1,7,0.48,5,0,0,0,1,0.07,1,0,0,0"
"247,Joshua King\43458538,2,1.22,1,0,0,1,0,0.00,0,0,0,0"
"248,Mateusz Klich\282679b4,97,3.65,81,7,2,5,13,0.49,11,1,1,0"
"249,Robin Koch\ea6bc03a,10,0.80,10,0,0,0,2,0.16,2,0,0,0"
"250,Sead Kolašinac\3935e52e,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"251,Terence Kongolo\1f9a3a04,1,1.00,1,0,0,0,0,0.00,0,0,0,0"
"252,Ezri Konsa\0313a347,5,0.14,4,0,0,1,0,0.00,0,0,0,0"
"253,Cheikhou Kouyaté\8d3c902d,16,0.46,14,0,0,1,2,0.06,2,0,0,0"
"254,Mateo Kova?i?\79c0821a,49,2.43,42,0,2,1,4,0.20,4,0,0,0"
"255,Emil Krafth\77cf6852,14,0.98,11,2,1,0,1,0.07,1,0,0,0"
"256,Filip Krovinovi?\c2dfedeb,17,2.80,10,3,3,0,1,0.16,1,0,0,0"
"257,Alexandre Lacazette\9dbb75ca,46,2.15,28,0,3,2,5,0.23,3,0,0,1"
"258,Adam Lallana\99813635,48,2.71,44,0,0,1,4,0.23,3,0,0,1"
"259,Érik Lamela\abe66106,26,3.26,15,3,1,1,5,0.63,2,1,0,1"
"260,Tariq Lamptey\f4e433d4,24,2.44,19,0,1,0,4,0.41,2,0,0,0"
"261,Manuel Lanzini\26f6dca8,20,3.18,14,1,1,2,4,0.64,2,0,0,1"
"262,Aymeric Laporte\119b9a8e,9,0.60,9,0,0,0,1,0.07,1,0,0,0"
"263,Jamaal Lascelles\450ab6fc,4,0.22,4,0,0,0,0,0.00,0,0,0,0"
"264,Maxime Le Marchand\321a71a7,2,1.46,2,0,0,0,0,0.00,0,0,0,0"
"265,Mario Lemina\2b471f99,25,1.32,17,0,5,1,2,0.11,0,0,0,0"
"266,Bernd Leno\2628fd2b,1,0.03,1,0,0,0,0,0.00,0,0,0,0"
"267,Khanya Leshabela\383e68b1,1,9.00,1,0,0,0,0,0.00,0,0,0,0"
"268,Jamal Lewis\efb9215a,29,1.42,24,3,1,0,2,0.10,2,0,0,0"
"269,Victor Lindelöf\f5deef4c,9,0.31,9,0,0,0,1,0.03,1,0,0,0"
"270,Jesse Lingard\810e3c74,61,3.86,42,6,2,5,11,0.70,6,2,0,2"
"271,Jake Livermore\b98570d1,8,0.58,7,0,0,1,1,0.07,1,0,0,0"
"272,Diego Llorente\bba30585,6,0.45,5,0,0,1,1,0.07,1,0,0,0"
"273,Hugo Lloris\8f62b6ee,1,0.03,1,0,0,0,1,0.03,1,0,0,0"
"274,Giovani Lo Celso\d7553721,30,2.86,21,3,0,1,3,0.29,3,0,0,0"
