"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"164,Ryan Fraser\d56543a0,FWMF,18,9,928,10.3,2,0,0,2,1,0.9,0.9,2.1,3.0"
"165,Fred\b853e0ad,MF,30,27,2390,26.6,0,1,0,5,0,1.9,1.9,2.5,4.5"
"166,Ryan Fredericks\c067631c,DFFW,14,6,569,6.3,1,1,0,2,0,0.3,0.3,1.2,1.5"
"167,Christian Fuchs\a67a09fb,DF,9,8,702,7.8,0,0,0,4,0,0.1,0.1,0.0,0.1"
"168,Darnell Furlong\3ec9195b,DF,35,32,2932,32.6,3,1,0,5,0,2.0,2.0,2.1,4.1"
"169,Conor Gallagher\c2731c10,MF,30,28,2531,28.1,2,2,0,11,0,1.8,1.8,1.6,3.4"
"170,Eric García\2bed3eab,DF,6,3,383,4.3,0,0,0,0,0,0.1,0.1,0.1,0.2"
"171,Dwight Gayle\e58a03c6,FWMF,18,4,514,5.7,1,1,0,0,0,2.0,2.0,0.5,2.6"
"172,Jean-Philippe Gbamin\6bd603db,MF,1,0,12,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"173,David de Gea\7ba6d84e,GK,26,26,2295,25.5,0,0,0,0,0,0.0,0.0,0.0,0.0"
"174,Anwar El Ghazi\ffa90327,FW,28,17,1613,17.9,0,6,4,2,0,8.1,5.1,2.3,7.3"
"175,Kieran Gibbs\46ee5234,DF,10,9,809,9.0,0,0,0,1,1,0.0,0.0,0.3,0.3"
"176,Morgan Gibbs-White\32f60ed8,MFFW,11,4,414,4.6,0,1,0,1,0,1.0,1.0,0.6,1.6"
"177,Billy Gilmour\df10e27c,MF,5,3,261,2.9,0,0,0,0,0,0.0,0.0,0.1,0.2"
"178,Olivier Giroud\16ceb862,FW,17,8,748,8.3,0,4,0,1,0,4.8,4.8,0.7,5.5"
"179,Ben Godfrey\9f7c837d,DF,31,29,2685,29.8,2,0,0,4,0,0.9,0.9,0.5,1.4"
"180,André Gomes\1961b2aa,MF,28,17,1570,17.4,1,0,0,3,0,0.5,0.5,1.0,1.4"
"181,Joe Gomez\7a11550b,DF,7,6,590,6.6,0,0,0,0,0,0.0,0.0,0.0,0.0"
"182,Anthony Gordon\2bd83368,FWMF,3,1,88,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"183,Karlan Grant\87f7500e,FWMF,21,14,1127,12.5,0,1,0,1,0,2.1,2.1,0.0,2.1"
"184,Demarai Gray\4468ec10,FW,1,0,19,0.2,0,0,0,0,0,0.1,0.1,0.0,0.1"
"185,Jack Grealish\b0b4fd3e,FWMF,26,24,2185,24.3,10,6,0,6,0,4.3,4.3,8.6,12.9"
"186,Mason Greenwood\58eee997,FW,31,21,1822,20.2,2,7,0,2,0,7.4,7.4,1.8,9.2"
"187,Pascal Groß\8aec0537,MFDF,34,27,2484,27.6,8,0,3,3,0,5.6,2.5,5.5,8.0"
"188,Kamil Grosicki\81d8091f,FWMF,3,2,148,1.6,1,0,0,0,0,0.1,0.1,0.1,0.2"
"189,Vicente Guaita\ab13a5aa,GK,37,37,3330,37.0,0,0,0,2,0,0.0,0.0,0.0,0.0"
"190,?lkay Gündo?an\819b3158,MF,28,23,2029,22.5,2,12,1,1,0,9.0,7.5,4.5,12.0"
"191,Antwoine Hackford\a7588cdc,FWDF,1,0,11,0.1,0,0,0,0,0,0.1,0.1,0.0,0.1"
"192,Sébastien Haller\ba115a40,FW,16,10,937,10.4,0,3,0,0,0,2.9,2.9,1.2,4.1"
"193,Rekeem Harper\3c066877,MF,2,0,32,0.4,0,0,0,0,0,0.0,0.0,0.0,0.0"
"194,Jack Harrison\aa849a12,MF,36,34,2847,31.6,8,8,0,2,0,6.6,6.6,7.1,13.7"
"195,Kortney Hause\bf8fad51,DF,7,7,630,7.0,0,1,0,2,0,1.2,1.2,0.0,1.2"
"196,Kai Havertz\fed7cb61,MFFW,27,18,1520,16.9,3,4,0,2,0,6.3,6.3,1.6,7.8"
"197,Isaac Hayden\c951a6df,MFDF,24,22,1942,21.6,0,0,0,8,0,0.5,0.5,0.4,0.9"
"198,Michael Hector\5f1a2f31,DF,4,3,263,2.9,0,0,0,2,0,0.1,0.1,0.0,0.1"
"199,Ahmed Hegazi\5540c9dc,DF,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"200,Dean Henderson\e5a76dfe,GK,13,12,1125,12.5,0,0,0,3,0,0.0,0.0,0.0,0.0"
"201,Jordan Henderson\935e6b8f,MFDF,21,20,1704,18.9,1,1,0,0,0,1.7,1.7,1.4,3.0"
"202,Jeff Hendrick\989d5705,MF,22,17,1422,15.8,1,2,0,3,1,1.1,1.1,0.7,1.8"
"203,Pablo Hernández\c0398aca,MFFW,16,3,427,4.7,2,0,0,1,0,1.2,1.2,0.7,1.8"
"204,Son Heung-min\92e7e919,FW,37,36,3114,34.6,10,16,1,0,0,10.3,9.5,8.9,18.4"
"205,Ki-Jana Hoever\9a71e978,DF,12,5,577,6.4,0,0,0,1,0,0.1,0.1,0.2,0.3"
"206,Rob Holding\d79a8c87,DF,30,28,2558,28.4,1,0,0,2,0,1.1,1.1,0.2,1.4"
"207,Mason Holgate\d0042ab9,DF,28,26,2287,25.4,0,1,0,9,0,0.8,0.8,0.6,1.4"
"208,Conor Hourihane\fcab00a0,MF,4,3,225,2.5,1,1,0,0,0,0.5,0.5,0.8,1.3"
"209,Callum Hudson-Odoi\15f3ec41,FWDF,23,10,1059,11.8,3,2,0,0,0,1.4,1.4,3.1,4.5"
"210,Niall Huggins\6d646ff7,DF,1,0,38,0.4,0,0,0,0,0,0.0,0.0,0.0,0.0"
"211,Pierre Højbjerg\8b04d6c1,MF,38,38,3420,38.0,4,2,0,9,0,1.1,1.1,1.9,3.0"
"212,Odion Ighalo\03622183,FW,1,0,10,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"213,Kelechi Iheanacho\c92e1a31,FW,25,16,1459,16.2,2,12,0,1,0,7.8,7.0,2.9,10.0"
"214,Danny Ings\07802f7f,FW,29,26,2173,24.1,4,10,2,1,0,8.3,6.7,2.6,9.3"
"215,Branislav Ivanovi?\85f8571a,DF,13,8,767,8.5,0,0,0,2,0,0.6,0.6,0.1,0.6"
"216,Alex Iwobi\6ca5ec4b,FWDF,30,17,1542,17.1,2,1,0,0,0,1.1,1.1,1.8,2.9"
"217,José Izquierdo\ca2bc3df,DF,1,0,9,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"218,Phil Jagielka\3233eefd,DF,10,6,526,5.8,0,0,0,1,1,0.0,0.0,0.0,0.0"
"219,Alireza Jahanbakhsh\08452314,FWMF,21,6,528,5.9,1,0,0,3,0,1.6,1.6,3.2,4.8"
"220,Daniel James\c931d9f9,FW,15,11,910,10.1,1,3,0,3,0,2.3,2.3,1.2,3.5"
"221,Reece James\1265a93a,DF,32,25,2373,26.4,2,1,0,3,0,1.6,1.6,3.0,4.6"
"222,Alexandre Jankewitz\7c39363f,MF,2,1,3,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0"
"223,Daniel Jebbison\03edb878,FW,4,3,284,3.2,0,1,0,0,0,1.6,1.6,0.0,1.6"
"224,Gabriel Jesus\b66315ae,FW,29,22,2063,22.9,4,9,0,2,0,8.8,8.8,3.4,12.2"
"225,Raúl Jiménez\b561db50,FW,10,10,823,9.1,0,4,0,0,0,2.4,2.4,0.8,3.1"
"226,Joelinton\c17bfb65,FWMF,31,23,1983,22.0,2,3,1,3,0,6.1,5.3,2.1,7.5"
"227,Ben Johnson\9319781b,DF,14,5,523,5.8,0,1,0,1,0,0.4,0.4,0.2,0.6"
"228,Sam Johnstone\9e5708be,GK,37,37,3330,37.0,1,0,0,1,0,0.0,0.0,0.4,0.4"
